TOT_POP,MEDHHINC_2018,Total Hospitals (2019),Obesity_prevalence,diabetes_prevalence,Child_Poverty_Index
153337.625,56557.0,2.295390467,36.3,11.7,18.450000000000003
153337.625,55874.0,2.9057676592500004,30.1,11.5,14.5
9047.0,55378.0,0.204764275,33.5,11.1,14.75
25083.0,68835.0,0.345743015,27.7,11.0,12.9
53652.0,52151.0,1.068406967,33.0,8.8,13.4
153337.625,62835.0,2.201366663,33.4,11.9,11.45
7885.0,55190.0,0.39579428,28.4,11.3,15.3
34993.0,47302.0,1.844675493,30.8,11.2,19.3
1892.0,57210.0,0.034475693,32.5,12.4,14.95
153337.625,53034.0,2.9057676592500004,40.3,14.0,21.450000000000003
8058.0,57208.0,0.38843437,34.9,11.0,10.15
50815.0,53134.0,1.194067812,35.9,12.8,18.15
13275.0,39201.0,0.274306544,35.9,16.4,25.4
19964.0,60767.0,0.341037707,33.8,9.9,13.05
2533.0,50553.0,0.120929554,37.9,13.0,21.799999999999997
15795.0,48315.0,0.178020201,31.8,12.6,17.5
36249.0,50162.0,0.851791088,39.4,14.0,24.35
101104.0,51441.0,2.375775501,31.8,13.8,18.4
153337.625,67161.0,2.9057676592500004,33.4,10.0,8.55
59866.0,43031.0,0.993546484,39.5,14.4,24.3
50310.0,50594.0,0.916740021,38.8,14.5,23.549999999999997
153337.625,50006.0,2.9057676592500004,34.9,13.3,26.15
153337.625,56343.0,2.9057676592500004,24.6,13.0,17.549999999999997
47240.0,48020.0,1.11006127,41.3,15.3,26.5
4434.0,59020.0,0.037664319,32.2,14.4,14.3
7254.0,36384.0,0.224951158,38.9,18.1,28.1
23341.0,45607.0,0.336247757,35.2,13.8,24.049999999999997
37300.0,54376.0,0.316842379,31.7,11.3,16.0
21332.0,55687.0,0.482815465,30.8,11.7,17.7
22883.0,58693.0,0.455683975,35.7,12.3,13.6
1952.0,68243.0,0.100158273,36.9,12.2,12.45
6336.0,55371.0,0.305425685,37.3,12.1,16.3
8484.0,49210.0,0.154593964,36.5,15.0,23.4
8278.0,38479.0,0.274406083,39.3,16.5,28.85
21899.0,32321.0,0.514590003,40.5,18.7,35.95
12437.0,44298.0,0.464986875,41.9,12.8,21.75
153337.625,81540.125,2.9057676592500004,28.6,9.4,6.15
2611.0,38187.0,0.035989914,37.8,19.9,34.15
46140.0,78112.0,2.316036536,33.2,8.4,10.75
153337.625,81540.125,2.9057676592500004,32.1,9.3,7.55
153337.625,48858.0,2.9057676592500004,36.5,12.5,22.9
13338.0,40425.0,0.703120102,38.0,16.2,32.7
9378.0,52567.0,0.447721024,34.5,11.5,15.6
66994.0,42099.0,0.909219223,35.4,16.5,28.35
39694.0,49482.0,1.008362199,30.3,11.4,18.95
88355.0,77684.0,0.995819874,32.4,10.4,9.55
19026.0,35433.0,0.205218604,42.6,19.4,31.2
153337.625,53833.0,2.9057676592500004,28.2,9.5,13.8
35218.0,47864.0,1.681364792,40.7,12.4,20.450000000000003
30472.0,40972.0,0.343439796,32.5,13.7,23.95
136271.0,69600.0,2.48310633,31.7,10.0,11.15
9242.0,48182.0,0.217171597,39.4,16.0,22.700000000000003
153337.625,52872.0,2.9057676592500004,30.8,11.5,18.8
91185.0,69753.0,1.027715864,37.1,12.7,15.950000000000001
7709.0,52355.0,0.131690026,30.3,11.8,14.05
20917.0,57002.0,1.07326363,34.4,10.2,10.65
15765.0,43767.0,0.231381877,37.1,11.5,20.7
26215.0,40965.0,0.361346455,31.9,15.6,33.3
3295.0,47976.0,0.169068397,35.5,13.6,16.05
38458.0,44261.0,0.765839021,39.1,13.1,25.25
74254.0,41298.0,2.302663814,37.5,16.0,23.799999999999997
13840.0,53147.0,0.517441372,34.0,10.8,10.25
54401.0,53961.0,2.597192517,38.9,11.7,15.2
3947.0,39309.0,0.078599163,33.7,13.5,26.95
55945.0,48489.0,0.603435026,29.2,9.6,14.75
24965.0,44902.0,0.728947434,31.9,14.6,22.75
8832.0,49060.0,0.207537281,38.2,14.3,23.35
26314.0,37823.0,0.543736527,43.0,16.7,28.15
12164.0,42455.0,0.190077049,30.0,11.2,27.85
54033.0,42640.0,0.608988006,30.5,8.5,19.75
6021.0,54917.0,0.136275638,35.6,11.0,14.05
78374.0,50529.0,1.063664617,33.2,13.8,20.15
84501.0,47999.0,1.313002282,30.0,11.6,18.0
28360.0,49498.0,0.51677096,39.8,15.5,24.700000000000003
32006.0,46835.0,0.631331294,39.0,14.4,17.799999999999997
38601.0,47561.0,1.93761002,24.9,7.4,12.6
115967.0,59142.0,1.924608377,36.0,11.7,13.65
32607.0,34894.0,1.011163829,39.7,17.6,30.85
14350.0,54569.0,0.691739043,34.6,11.1,13.2
15631.0,37550.0,0.176171812,38.7,14.6,27.25
2503.0,57832.0,0.071277857,30.2,13.1,14.8
4686.0,49151.0,0.225887746,36.0,12.2,17.799999999999997
10212.0,57549.0,0.203358159,34.6,12.5,12.5
