TOT_POP,White-alone pop,MEDHHINC_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),Population Aged 60+,COUNTY_NAME,STATE_NAME,Obesity_prevalence,diabetes_prevalence,Percent_Pop_Aged_60_plus,Racial_Diversity_Index,Percent_Higher_Education,Minority_Population,Child_Poverty_Index
324890,250970,64170,253.1,5.518802779,42641,1238,42,34.4,10.3,15.399981532210901,2,37.16580996645018,73920,11.55
8074,6970,43245,207.6,0.235750915,2425,151,3,34.6,15.1,31.48377508050533,2,31.211295516472624,1104,23.85
36506,34553,50956,320.5,0.56724135,9105,31,38,35.3,12.0,26.286089957815157,1,29.649920561003672,1953,19.7
7979,7461,47658,230.9,0.187493202,2211,691,17,37.0,15.1,28.575009399674144,1,33.78869532522872,518,23.25
40439,38512,63241,253.1,0.686924392,7818,1475,42,33.3,11.9,21.77106258809565,1,33.37372338584041,1927,12.65
7711,7362,55345,227.6,0.368135724,1833,428,16,36.0,11.0,24.199195953832188,1,45.182207236415515,349,11.65
19215,18226,37392,230.9,0.451520476,4558,579,17,38.1,15.3,25.230288836846213,1,27.046578194119174,989,34.3
40878,38052,42475,253.1,0.694381544,9356,438,42,35.3,15.3,24.27711727579627,1,24.492391995694508,2826,33.4
129641,114489,49522,230.8,2.557221157,30680,44,14,40.3,14.6,24.864819000161987,2,34.06484059826752,15152,23.0
40770,35518,39037,265.2,0.415369501,12422,315,9,39.5,16.8,32.700515084621046,2,30.883002207505516,5252,26.0
35108,27666,54332,224.8,0.639731836,9303,64,43,37.6,14.0,28.85951919790361,2,35.123048877748666,7442,18.8
823,755,41413,224.8,0.014996562,282,427,43,38.8,19.5,36.452004860267316,1,45.6865127582017,68,22.3
10138,2661,29267,217.1,0.209485479,2371,5,0,45.8,20.6,23.071611757743142,2,24.926020911422373,7477,67.4
166051,151472,64644,230.9,3.901921761,31245,720,17,36.3,12.0,20.823722832141932,1,41.07232115434415,14579,13.55
12726,12388,31182,230.9,0.299039791,2950,698,17,42.3,17.6,24.82319660537482,1,27.274870344177277,338,43.8
28223,26272,45023,207.6,0.824077045,7997,115,3,35.0,13.9,30.921588775112497,1,35.68011905183715,1951,24.55
23920,12781,40741,217.1,0.494268363,6134,12,0,40.5,19.1,26.81020066889632,2,26.433946488294314,11139,31.549999999999997
32955,31250,55583,228.7,0.454250331,7478,402,10,30.0,11.4,24.26945835229859,1,33.166439083598846,1705,18.1
27109,26259,41864,255.0,0.292403613,8552,1190,33,32.7,13.6,33.98133461212144,1,38.7731011841086,850,24.75
51843,40139,53992,206.7,1.643480894,12914,64,36,32.1,12.7,26.35649943097429,3,38.950292228459,11704,17.6
9280,9084,60608,239.2,0.447340649,2394,306,27,33.2,9.8,27.11206896551724,1,43.006465517241374,196,7.8
24922,20736,47319,263.2,0.280887589,6341,1753,46,30.4,11.6,28.039483187545137,2,42.10336249097183,4186,19.25
28294,25611,59524,240.4,1.828036748,5515,656,41,28.7,8.5,21.75726302396268,1,40.358379868523365,2683,10.85
18634,16463,66901,228.7,0.256850271,3658,54,10,33.5,12.1,22.061822475045613,2,30.36385102500805,2171,14.0
35774,33992,36192,253.1,0.607681525,9766,1476,42,39.5,17.0,28.83658522949628,1,23.56180466260413,1782,35.7
513607,415897,56381,227.6,24.52043634,97508,273,16,35.2,12.6,20.627055316613678,2,40.611985428547506,97710,16.3
883305,467444,110601,279.6,8.016435378,179193,202,4,16.8,8.8,21.238756714838022,3,59.49394603223123,415861,11.0
104143,90149,63274,284.4,1.528500017,16887,24,13,31.8,8.5,17.85141584167923,2,39.43135880472043,13994,12.649999999999999
88571,78363,52506,273.1,1.763771592,18624,585,25,34.2,12.4,22.498334669361302,2,34.955007846812165,10208,21.45
57078,43632,42542,229.5,0.774642726,12263,9,40,38.6,14.0,23.12449630330425,2,28.67479589333894,13446,22.700000000000003
